depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,camptothecin (GDSC2:1003),vinblastine (GDSC2:1004),cisplatin (GDSC2:1005),cytarabine (GDSC2:1006),docetaxel (GDSC2:1007),gefitinib (GDSC2:1010),navitoclax (GDSC2:1011),vorinostat (GDSC2:1012),nilotinib (GDSC2:1013),olaparib (GDSC2:1017),axitinib (GDSC2:1021),AZD7762 (GDSC2:1022),afatinib (GDSC2:1032),PLX4720 (GDSC2:1036),KU-57788 (GDSC2:1038),doramapimod (GDSC2:1042),Wee1 Inhibitor (GDSC2:1046),nutlin-3 (GDSC2:1047),mirin (GDSC2:1048),PD-173074 (GDSC2:1049),ZM 447439 (GDSC2:1050),alisertib (GDSC2:1051),Ro-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),palbociclib (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),obatoclax (GDSC2:1068),5-fluorouracil (GDSC2:1073),dasatinib (GDSC2:1079),paclitaxel (GDSC2:1080),crizotinib (GDSC2:1083),WY-090217 (GDSC2:1084),sorafenib (GDSC2:1085),BI-2536 (GDSC2:1086),irinotecan (GDSC2:1088),oxaliplatin (GDSC2:1089),BMS-536924 (GDSC2:1091),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),erlotinib (GDSC2:1168),niraparib (GDSC2:1177),MK-1775 (GDSC2:1179),dinaciclib (GDSC2:1180),gemcitabine (GDSC2:1190),bortezomib (GDSC2:1191),GSK 269962A (GDSC2:1192),SB 505124 (GDSC2:1194),tamoxifen (GDSC2:1199),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),talazoparib (GDSC2:1259),trametinib (GDSC2:1372),dabrafenib (GDSC2:1373),temozolomide (GDSC2:1375),ruxolitinib (GDSC2:1507),linsitinib (GDSC2:1510),epirubicin (GDSC2:1511),pevonedistat (GDSC2:1529),AZD8931 (GDSC2:1549),uprosertib (GDSC2:1553),LCL161 (GDSC2:1557),lapatinib (GDSC2:1558),AUY922 (GDSC2:1559),alpelisib (GDSC2:1560),taselisib (GDSC2:1561),CS-1421 (GDSC2:1564),leflunomide (GDSC2:1578),entinostat (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),PCI-34051 (GDSC2:1621),wnt-c59 (GDSC2:1622),I-BET-762 (GDSC2:1624),Apabetalone (GDSC2:1625),OTX015 (GDSC2:1626),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),AGI-6780 (GDSC2:1634),AZD4547 (GDSC2:1786),ibrutinib (GDSC2:1799),Oxyphenisatin acetate (GDSC2:1804),oxaliplatin (GDSC2:1806),carmustine (GDSC2:1807),topotecan (GDSC2:1808),teniposide (GDSC2:1809),mitoxantrone (GDSC2:1810),dactinomycin (GDSC2:1811),fludarabine (GDSC2:1813),nelarabine (GDSC2:1814),fulvestrant (GDSC2:1816),vincristine (GDSC2:1818),docetaxel (GDSC2:1819),Podophyllotoxin bromide (GDSC2:1825),Dihydrorotenone (GDSC2:1827),Elephantin (GDSC2:1835),Sinularin (GDSC2:1838),BI-97C1 (GDSC2:1849),OF-1 (GDSC2:1853),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),buparlisib (GDSC2:1873),BVD-523 (GDSC2:1908),venetoclax (GDSC2:1909),ABT737 (GDSC2:1910),dactinomycin (GDSC2:1911),GSK2110183C (GDSC2:1912),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),osimertinib (GDSC2:1919),cediranib (GDSC2:1922),GDC 0068 (GDSC2:1924),GDC 0810 (GDSC2:1925),GNE317 (GDSC2:1926),I-BRD9 (GDSC2:1928),MST-312 (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),MIM-1 (GDSC2:1996),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),Pyridostatin (GDSC2:2044),AMG-319 (GDSC2:2045),SCH900776 (GDSC2:2046),BVD-523 (GDSC2:2047),vinorelbine (GDSC2:2048),VX-11e (GDSC2:2096),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),GSK3203591 (GDSC2:2110),VE 821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172)
ACH-000956,22RV1,Prostate,Prostate Adenocarcinoma,,,,-7.820023318657316,,,,,,1.7325041313738403,,,,,,,,,,,6.500463662437128,,,,,,,,,,,2.2874266482122705,,,,,,,,,,,,4.7941113153536286,,,,-5.6520084696594095,,-6.672976768705891,,,,,-4.7201383696111066,3.248313025800888,,,,,,,,-1.482954651334241,,,,,,,,,,,2.2889425879650185,,,,,3.1361547761432087,,,,,,,,,2.8491531622249977,,,,-1.7982372071951611,,,,,,,,,,,,,,4.258305091000707,,-0.9844655592078404,,3.923499381949969,3.0238332650881063,1.3631194959287285,,,,-7.311972387589448,3.122534430399201,,,,,,1.9805887751167404,,,-0.3672228057926553,,0.17964012159063034,,,,,2.0450359680956245,,-4.106665211250829,,,,,,,,,,,,,,,,,,,
ACH-000948,2313287,Gastric,Gastric Adenocarcinoma,,,-4.049953466259856,,,,-7.772104878404045,,1.2237714024593076,1.6560019438719171,,,,0.5346380799887979,1.8076564390281744,,,,1.9074783481890687,,4.7731981147875935,,,,,,,,-0.6338724366893214,,,1.5983565511416271,,,,,,2.5779313121626086,,,,,,,,,-0.3371566486974865,-4.541537898697934,0.01820402024126981,-7.662653087025589,,,,,,3.1281554618246923,,,,,,,,-2.0060628496919133,,,,,,,,,,,,,,,,2.653527218846436,,,,,,,,,,,,,0.6265712106519854,,,-1.366058146567135,-0.3834507796528847,,,,,,-5.998595216357554,-6.717564287823154,-2.2781590891358947,,,,-1.6285156337480289,,,2.0254967264476917,0.9206586424630424,,,,-8.502976126731406,,,,,2.6889439601605947,,2.8051769353243907,,,-0.923548356145024,,1.2653079083235879,,3.0771145732071896,,,,,-3.5211067724975296,,,,2.4434869969397446,,,,,,-8.298868819251393,,1.8146458023826595,3.175588947895388,,,,3.3126711972110945,,
ACH-000323,42MGBA,Central Nervous System,Glioma,Astrocytoma,,,-8.03968179460497,,,,,2.855606493322899,2.9363870582926834,,,,-0.804622534150068,2.5353027768598406,,,,,,6.1768154214511535,,,,,,,-3.3989496342998637,2.1910166936545115,,,2.306412342750271,,-2.5397237829588692,,,,,,3.1383106128870777,,2.861525861519233,,,,,,-4.7053406326431535,-4.842515966345003,-6.628647462506387,,,,,,3.302974139897945,2.4022968161982634,,,,,,,-3.1665797413571855,-0.26334260546412697,,,,,,,,,,3.249520689263833,,,,,1.9772837827537169,,,,,,,,,,,,,,,,0.00010802986807569416,1.4658655190031766,,,,,,-2.453956136554964,,,,,,0.3745066613744845,,,2.5619732617123776,0.3734874077290512,,,,-7.7590506439657965,3.1663925854967796,,,,,,1.8486237967416328,,,-0.18356596977828413,,0.09060131334961267,,2.893872735196612,,,,,-6.532927650383877,,,,-0.1763467833784444,,,,,,,,,2.8959602952656693,,,,,,
ACH-000905,5637,Urinary Tract,Bladder Carcinoma,,,,,,,-8.737256774916437,,,2.6590082385243443,,,,1.0102354899380188,,,,,,,,,,,,,,,,,,,,-2.749466856905973,-6.809423015068723,,,,,,,3.03691534555115,,,,,-0.4559873071497073,,,-6.493978092211961,,,,0.1582762654696354,,,,,,,,,,-1.050150158693378,,,,,,,,,,,1.9709943963491041,,,,,,,,,,,,,,,,,,,,,-0.025567189728503262,,,,,,,,-7.259860699395709,,,,,1.626087305900496,,,2.245080698131184,0.36020920905150433,,,,-7.0128669679554925,,,,,,,,,,2.529867161813705,,0.1008546640979772,,,,,,,-4.737841785833127,,,,1.1404205357666133,,,,,,-8.230212607057648,,,3.2213987366583896,,,,,,
ACH-000973,639V,Urinary Tract,Bladder Carcinoma,Bladder Transitional Cell,,,,0.8055338979800161,,,,2.613602757324641,,,,,1.8520770796003705,2.9585122048969716,,,,2.040078475191009,,6.544181294883942,,,,,,,,,,,2.3469113360313334,,,,,,2.314138200597417,,0.3167589091843617,,,,,,,1.3661096358072558,-4.58172111695833,-6.302506258010354,-6.912884357691227,,,,,,,,1.9133463120792875,,,,,,-3.143747087051304,-1.3058768861526828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4423685478041643,0.17638328679142035,1.0534969058354835,,,,,,-5.515448573303728,,,4.256266534149768,,-1.6854024754168502,,,3.2224350470420884,1.4833776111311057,,,,-8.409626926609679,,,,,,,2.935191283557546,,,,,-0.8479442080737095,,,,,,,,,,,0.8960230983680083,,,,,,,,,,,,,,,
ACH-000896,647V,Urinary Tract,Bladder Carcinoma,,,-6.3347383322156094,,,,,,2.7687383500716103,,,,,0.25932223049400505,2.2290771376458443,,,,1.05348356325479,,6.063624469407348,,,,,,,,,,,1.6625128224947463,,,,,,,,,,,,,,,1.0698084320145091,-3.455294144021061,-5.173181452964358,-7.577610801262944,,,,,,,,-0.9525532553083128,,,,,,-2.5803986670314223,-1.9457874176303256,,,,,,,,,,,,,,,-3.796552447058958,,,,,,,,,,,,,,,,-3.5505679154312983,0.7183883410627732,,,,,,,,,,4.257428699774917,,-0.8496875255274752,,,3.2891320024431963,3.2531493306805057,,,,-8.332186043608786,,,,,,,3.2291740343794,,,,,0.09842989924326466,,,,,2.038653605247043,,,,,,2.6041259004378867,,,,,,,,,2.872366649647016,,,,,,
ACH-000070,697,Blood,ALL,B-cell,,-6.880407941665535,-9.112968735541823,0.21834850393008245,-7.0857096132839725,-9.620679835018427,,-2.5259833584034093,0.1518857920316193,,0.8381449727938886,,-2.665507013409746,0.7755847446775875,,,,0.14439439491635594,0.8113539638245706,6.215546045924348,,,-4.819318794961365,,,-1.8795593428190267,-5.66807716798816,-0.16721566860710788,,,-0.6950082769453594,3.5108887336289767,,-8.397259351701388,-0.1054479019345474,,2.165778463702824,,0.2278650508679497,-0.03011544132730245,2.1820918032238117,,2.039152147246988,,-0.14383917570792046,-2.259161881271997,-5.237872262757554,-8.19771212200178,-7.398115414274515,,,,-0.3748479503968696,,3.1311154511381445,-1.5237238726376852,-5.317577409413956,,,,,,-6.590966490234735,-1.4398734348609141,,,,2.346202489662879,-6.738402180717522,,,,5.463268725693302,0.27322883413068283,,,2.2076677103037228,,,,1.9450286428411965,,0.15001395920608585,,-0.5881122549735678,,,2.587679218513912,,,,,3.0469457236859823,,-2.7090843188438254,-3.606905597655806,-4.712817340087276,-7.051356988583351,0.623529198578275,3.571382775814097,,-6.5518674219670325,,-2.90487728356228,,2.576032703277233,,-4.190572569120192,,3.464431209832837,1.5022091126636836,-0.08456409572453821,2.331462376230115,-5.052500476923472,-3.0662314231976264,,2.618567974339024,,3.116403174412642,-0.9849550007167264,,,2.6313313330910306,,,-1.5425881903386562,2.733568904645783,0.11848656916307995,3.1578290194993555,2.6803930450255025,2.877913626772465,,,,,3.0905988804363136,,,-2.3168744524632547,,2.3942106194428376,,0.4104789406395967,,-8.431922501464216,2.940855534187857,1.7931287649356005,1.8388190049419464,,1.7087043884712456,,,,
ACH-000411,769P,Kidney,Renal Cell Carcinoma,Clear Cell,,,,,,,,2.078629252381579,2.379793731200478,,,,-1.686577511054436,,,,,1.4916011144854775,,,,,,,,3.0030505599130017,-4.192255940305719,2.8108105747635412,,,,,,,,,2.571576058055237,,,,,,,,,-1.259550037786897,-4.6379658915622315,,-6.281511224940676,,,,1.609511574049258,,,,,,,,,,-1.3143504855986163,,,,,2.357409441795652,,,,,,,,,2.292347698670117,,,,,,,,,,,,,,,,,,,,,,,,,,-2.78156823553752,,,3.7478793344200376,,-1.4454527352085598,,,2.0218092479850127,1.566638177739483,,,2.518246260026155,-7.0320756388503085,,,,1.2237314735155098,,,2.4531804099801,,,-0.6634262491262845,,2.4874190037603063,,3.167932401941241,,,,,,,,,2.8827031528161875,,,,,,,,,2.513058226018128,,,,,,
ACH-000649,786O,Kidney,Renal Cell Carcinoma,Clear Cell,,-5.037009084938731,,,,,,2.7141728931888287,,,,,-0.8430570133451765,2.4080436192468184,,,,2.073318035428513,,,,,,,,,,2.3264306105187043,,,-0.3570302688812151,,,,,,,,2.3783371415997268,,,,4.606307678457296,,,-0.2280493674065519,-3.596754197996946,-1.2196171840034378,-7.4638386086403266,,,,,,,3.137846588062468,,,,,,,-2.419178193819102,1.6740138875247206,,,,2.7377217364283264,,,,,,,,,,,3.1160568359110736,,,,,,,,,,,,,,,,-1.4353883750838805,0.30514914712499863,0.737834271378564,,,,,,,-0.07364780766529314,,3.7738065224161343,,-1.6040349247031902,,,2.190713436690714,1.7392096205886425,,,,-7.331139989259372,2.4060916938266077,,,1.524949049209201,,,2.693428072529397,,,-0.009665217523496005,,-1.57873146544623,,2.9959236072281312,,,,,-5.854070696741543,,,,1.9142525583841448,,,,,,-8.047505921400138,,2.249671200796873,2.1124174189010394,,,,,,
ACH-001306,8305C,Thyroid,Thyroid Carcinoma,,,,,,,,,3.2840587662754257,1.8650624013956592,,,,1.2597707044485185,2.599328609078041,,,,,,6.4379537253413845,,,,,,,,,,,2.782298611505218,,,,,,,,,,2.896546236392779,,4.791441068983393,,,,,,-7.887429434578927,,,,4.2274247808769765,-6.217723338383383,,,,,,,,,-0.3811789274408136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3979416396905433,,,,,,,-5.624759196575392,-5.10139498180967,-2.4209588257809447,,4.224057349157462,,,,,2.0979499205700147,1.3851826152004116,,,,-5.8914429149611065,,,,,,,2.1814846981461216,,,0.3293996376192006,,2.8223680100805866,,,,,3.31824599943942,,-5.207208403504477,,,,2.3353284550229865,,,,,,,,,,,,,,,
